Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://transparencyreport.google.com/traffic/overview?disruption_history=region:BF;product:19;start:1636783200000;end:1638813600000&fraction_traffic=region:BF;product:19;start:1636783200000;end:1638813600000,BF,Burkina Faso,Web Search,2021-11-21,2021-11-28,Bloomberg,https://www.bloomberg.com/news/articles/2021-11-25/burkina-faso-extends-internet-shutdown-before-nov-27-protests,Burkina Faso Extends Internet Outage Before Weekend Protest,Burkina Faso extended its nationwide shutdown of mobile internet access for 96 hours
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SD;product:19;start:1633010400000;end:1639371600000&fraction_traffic=region:SD;product:19;start:1633010400000;end:1639371600000,SD,Sudan,Web Search,2021-10-25,2021-11-18,Quartz,https://qz.com/africa/2079718/sudan-shuts-down-the-internet-after-a-military-coup/,Sudan shuts down the internet after a military coup,"Sudan’s ongoing internet blockade in the aftermath of a coup on Monday, Oct. 25 could persist for longer"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SC;product:19;start:1627149600000;end:1627236000000&fraction_traffic=region:SC;product:19;start:1627149600000;end:1627236000000,SC,Seychelles,Web Search,2021-07-25,2021-07-25,Telecompaper,https://www.telecompaper.com/news/seychelles-cable-systems-says-seas-engineering-works-will-hit-telecom-services-on-24-25-july--1391241,Seychelles Cable Systems says SEAS engineering works will hit telecom services on 24-25 July,Interruptions are expected to telecommunication services [...] when the Seychelles Cable Systems Company undertakes maintenance work
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CU;product:19;start:1625263200000;end:1627596000000&fraction_traffic=region:CU;product:19;start:1625263200000;end:1627596000000,CU,Cuba,Web Search,2021-07-11,2021-07-20,Wall Street Journal,https://www.wsj.com/articles/internet-powered-mass-protests-in-cuba-then-the-government-pulled-the-plug-11626358893,Cuban Protests Were Powered by the Internet. The State Then Pulled the Plug,"To contain the spread of mass demonstrations, authorities cut internet service"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SZ;product:19;start:1624228200000;end:1626496200000&fraction_traffic=region:SZ;product:19;start:1624228200000;end:1626496200000,SZ,Eswatini,Web Search,2021-06-29,2021-07-08,Access Now,https://www.accessnow.org/keepiton-eswatini-protests/,"Eswatini authorities shut down internet to quell protests, ask people to email grievances",The government ordered network providers [...] to disconnect the nation.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CG;product:19;start:1616029200000;end:1616796000000&fraction_traffic=region:CG;product:19;start:1616029200000;end:1616796000000,CG,Congo - Brazzaville,Web Search,2021-03-21,2021-03-23,Netblocks,https://netblocks.org/reports/internet-shutdown-in-the-republic-of-the-congo-on-election-day-xAGR398z,Internet shutdown in the Republic of the Congo on election day,"NetBlocks metrics confirm an internet blackout in the Republic of Congo on the day of presidential elections, Sunday 21 March 2021."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TD;product:19;start:1613955600000;end:1615575600000&fraction_traffic=region:TD;product:19;start:1613955600000;end:1615575600000,TD,Chad,Web Search,2021-02-28,2021-03-06,Netblocks,https://netblocks.org/reports/internet-disrupted-in-chad-amid-deadly-standoff-at-opposition-candidates-house-nAgGPXAp,Internet disrupted in Chad amid deadly standoff at opposition candidate’s house,Internet connectivity has been severely disrupted in Chad since the morning of Sunday 28 February 2021
https://transparencyreport.google.com/traffic/overview?disruption_history=region:NE;product:19;start:1613284200000;end:1615854600000&fraction_traffic=region:NE;product:19;start:1613284200000;end:1615854600000,NE,Niger,Web Search,2021-02-24,2021-03-06,Access Now,https://www.accessnow.org/niger-election-internet-blackout/,Niger blacks out internet after presidential runoff election,"Following the official announcement of election results, major internet service providers (ISPs) in the country disrupted mobile internet."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:MM;product:19;start:1604192400000;end:1628038800000&fraction_traffic=region:MM;product:19;start:1604192400000;end:1628038800000,MM,Myanmar (Burma),Web Search,2021-02-01,2021-05-04,Reuters,https://graphics.reuters.com/MYANMAR-POLITICS/INTERNET-RESTRICTION/rlgpdbreepo/,Myanmar’s internet suppression,"Since the coup, the junta has ordered telecom companies to carry out dozens of shutdowns."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:UG;product:19;start:1610157600000;end:1611356400000&fraction_traffic=region:UG;product:19;start:1610157600000;end:1611356400000,UG,Uganda,Web Search,2021-01-13,2021-01-18,OONI,https://ooni.org/post/2021-uganda-general-election-blocks-and-outage/,Uganda: Data on internet blocks and nationwide internet outage amid 2021 general election,"Last week, amid its 2021 general election, Uganda was disconnected from the internet entirely."
