,article_title,contentful_id,updatedAt,num_total_images,num_updated_images,outdated_images,outdated_topics,num_total_topics,num_updated_topics,total_sentences,total_words,reading_difficulty,num_passive_voice,bad_links,positive_feedback,total_feedback
205195708,Changing your domain nameservers to Cloudflare,7lu0k9HJAKUuJzVGAjLtBH,2021-03-25,1.0,0.0,https://app.contentful.com/spaces/slt3lc6tev37/assets/5RgcL9QrReuwcADbxcdL0A,Overview | Confirm traffic is proxied to Cloudflare | Related resources,5.0,2.0,16.0,734.0,9.01,8.0,,519,985
360035387431,Frequently asked questions about Cloudflare bot products,2KkRIkmQWsYS5JMg95b7y5,2021-03-25,0.0,0.0,,,3.0,3.0,15.0,652.0,8.72,5.0,,21,31
360052685432,Cloudflare Web Analytics,7KIx0SPM2fUWKRMImCvN5g,2021-03-25,2.0,2.0,,,5.0,5.0,18.0,659.0,8.21,5.0,,18,44
206049798,Setting up Response Buffering,5I5UUbCcxLFRbOQFc4TvGa,2021-03-25,0.0,0.0,,,2.0,2.0,7.0,112.0,7.65,0.0,,9,13
227253688,Understanding Opportunistic Encryption,11Y3g6EbXLMq27QWqYSFNW,2021-03-25,0.0,0.0,,,2.0,2.0,4.0,100.0,8.8,1.0,,40,61
200168036,Will Mirage and Polish optimize off-site resources?,4lFwhdlMvhUk7F7Dc1WsMY,2021-03-25,0.0,0.0,,,1.0,1.0,1.0,18.0,8.73,0.0,,10,22
115003014192,2xx Success,79nLPEa5lFCQTd5n2zepXq,2021-03-25,0.0,0.0,,,7.0,7.0,10.0,450.0,9.09,5.0,,55,79
202032590,Using Cloudflare with vBulletin forums,2ROJl3QT8r71eI6fzUe3tz,2021-03-25,0.0,0.0,,,2.0,2.0,9.0,136.0,8.31,2.0,,14,23
115000350252,Using Cloudflare with Wix Website Builder,4rb4ysdkVf4CxkYgobaJA9,2021-03-24,0.0,0.0,,,1.0,1.0,1.0,64.0,9.05,0.0,,22,35
200171456,How many API calls can I make?,ky623JKIC5bksrJdgQbG4,2021-03-24,0.0,0.0,,,1.0,1.0,1.0,17.0,8.04,1.0,,79,96
200168806,I activated through a hosting partner. Can I still use the free Cloudflare IPv6 Compatibility?,2ETSL3GgkROYjrNMpjwzcj,2021-03-24,0.0,0.0,,,1.0,1.0,1.0,43.0,9.77,1.0,,66,85
